,Member_number,Date,itemDescription,year,month,day,day_of_week
1074,1780,2015-10-13,canned fish,2015,10,13,1
8189,1733,2015-06-23,canned fish,2015,6,23,1
8747,2799,2014-07-31,canned fish,2014,7,31,3
10073,3456,2014-01-31,canned fish,2014,1,31,4
10352,3081,2014-05-26,canned fish,2014,5,26,0
10760,3465,2014-02-19,canned fish,2014,2,19,2
10879,3378,2014-03-13,canned fish,2014,3,13,3
11040,3244,2014-06-21,canned fish,2014,6,21,5
11080,4159,2014-11-07,canned fish,2014,11,7,4
11912,4391,2014-01-23,canned fish,2014,1,23,3
12066,4009,2014-09-18,canned fish,2014,9,18,3
12356,3942,2014-06-05,canned fish,2014,6,5,3
13126,1623,2014-07-12,canned fish,2014,7,12,5
13819,2374,2014-09-16,canned fish,2014,9,16,1
14146,2396,2014-07-27,canned fish,2014,7,27,6
14788,3284,2014-01-04,canned fish,2014,1,4,5
14807,3979,2014-02-26,canned fish,2014,2,26,2
15230,2069,2014-12-11,canned fish,2014,12,11,3
15319,2689,2014-08-27,canned fish,2014,8,27,2
15396,2846,2014-10-26,canned fish,2014,10,26,6
15413,3268,2014-03-11,canned fish,2014,3,11,1
16042,1954,2015-06-08,canned fish,2015,6,8,0
16363,1482,2015-11-22,canned fish,2015,11,22,6
16551,2622,2015-01-10,canned fish,2015,1,10,5
17223,1780,2015-10-13,canned fish,2015,10,13,1
17309,4384,2015-09-22,canned fish,2015,9,22,1
17792,2700,2015-11-15,canned fish,2015,11,15,6
17847,3022,2015-11-15,canned fish,2015,11,15,6
18090,4304,2015-02-14,canned fish,2015,2,14,5
18512,3181,2015-03-22,canned fish,2015,3,22,6
18818,1834,2015-11-22,canned fish,2015,11,22,6
18887,1799,2015-06-13,canned fish,2015,6,13,5
19508,2893,2015-12-12,canned fish,2015,12,12,5
19599,3828,2015-06-15,canned fish,2015,6,15,0
20091,3088,2015-03-12,canned fish,2015,3,12,3
21162,3405,2015-03-04,canned fish,2015,3,4,2
21186,2494,2015-05-05,canned fish,2015,5,5,1
21325,2073,2015-04-30,canned fish,2015,4,30,3
21931,4745,2015-09-29,canned fish,2015,9,29,1
21987,4592,2015-08-12,canned fish,2015,8,12,2
22124,2291,2015-10-04,canned fish,2015,10,4,6
22177,2969,2015-08-24,canned fish,2015,8,24,0
22596,2195,2015-10-07,canned fish,2015,10,7,2
22983,3354,2015-11-29,canned fish,2015,11,29,6
23569,1303,2015-08-09,canned fish,2015,8,9,6
24432,1500,2015-06-01,canned fish,2015,6,1,0
24479,3832,2015-07-17,canned fish,2015,7,17,4
24647,2512,2015-01-19,canned fish,2015,1,19,0
24684,4576,2015-05-08,canned fish,2015,5,8,4
24939,4049,2014-06-07,canned fish,2014,6,7,5
25074,2756,2014-05-14,canned fish,2014,5,14,2
25230,4955,2014-03-22,canned fish,2014,3,22,5
25813,4963,2014-01-28,canned fish,2014,1,28,1
25873,2244,2014-01-19,canned fish,2014,1,19,6
25882,2506,2014-09-05,canned fish,2014,9,5,4
26499,1369,2014-08-02,canned fish,2014,8,2,5
26504,1265,2014-05-12,canned fish,2014,5,12,0
27012,3998,2014-10-09,canned fish,2014,10,9,3
27207,4455,2014-06-18,canned fish,2014,6,18,2
27273,1546,2014-02-04,canned fish,2014,2,4,1
27361,2350,2014-03-04,canned fish,2014,3,4,1
27436,4920,2014-09-10,canned fish,2014,9,10,2
27653,2639,2014-08-06,canned fish,2014,8,6,2
28069,4615,2014-10-29,canned fish,2014,10,29,2
28726,1075,2014-06-19,canned fish,2014,6,19,3
28868,1268,2014-10-19,canned fish,2014,10,19,6
29775,1753,2014-02-26,canned fish,2014,2,26,2
29845,1554,2014-10-27,canned fish,2014,10,27,0
29987,3335,2014-05-09,canned fish,2014,5,9,4
30074,4137,2014-07-23,canned fish,2014,7,23,2
30518,4008,2014-12-18,canned fish,2014,12,18,3
30559,4594,2014-07-13,canned fish,2014,7,13,6
30569,4630,2014-06-29,canned fish,2014,6,29,6
30706,1147,2014-11-16,canned fish,2014,11,16,6
31198,3475,2014-01-09,canned fish,2014,1,9,3
31479,1427,2014-12-02,canned fish,2014,12,2,1
31870,2763,2015-01-02,canned fish,2015,1,2,4
32159,4695,2015-10-13,canned fish,2015,10,13,1
32162,1200,2015-09-26,canned fish,2015,9,26,5
32497,3677,2015-04-30,canned fish,2015,4,30,3
32619,2688,2015-11-22,canned fish,2015,11,22,6
32646,4037,2015-09-05,canned fish,2015,9,5,5
33223,3442,2014-11-16,canned fish,2014,11,16,6
33380,3558,2014-09-11,canned fish,2014,9,11,3
33384,1009,2014-01-24,canned fish,2014,1,24,4
33512,4041,2014-04-25,canned fish,2014,4,25,4
33546,3431,2014-07-31,canned fish,2014,7,31,3
33547,2166,2014-07-14,canned fish,2014,7,14,0
34132,4198,2014-10-11,canned fish,2014,10,11,5
34174,3716,2014-05-13,canned fish,2014,5,13,1
34311,2092,2014-01-04,canned fish,2014,1,4,5
34390,2970,2014-11-11,canned fish,2014,11,11,1
34436,1727,2014-11-08,canned fish,2014,11,8,5
34633,1332,2015-03-04,canned fish,2015,3,4,2
34769,3175,2015-11-23,canned fish,2015,11,23,0
34992,1615,2015-03-12,canned fish,2015,3,12,3
35392,2407,2014-03-17,canned fish,2014,3,17,0
35585,3839,2014-08-13,canned fish,2014,8,13,2
36019,1943,2015-01-14,canned fish,2015,1,14,2
36073,4742,2015-11-15,canned fish,2015,11,15,6
36082,1748,2015-08-03,canned fish,2015,8,3,0
36117,4918,2015-01-27,canned fish,2015,1,27,1
36362,3890,2015-10-26,canned fish,2015,10,26,0
36443,2357,2015-03-08,canned fish,2015,3,8,6
36619,3980,2015-09-16,canned fish,2015,9,16,2
36924,1182,2014-11-16,canned fish,2014,11,16,6
37436,4671,2014-08-13,canned fish,2014,8,13,2
37530,2910,2014-03-28,canned fish,2014,3,28,4
37613,4897,2014-11-25,canned fish,2014,11,25,1
37763,3188,2014-08-05,canned fish,2014,8,5,1
38187,3956,2014-07-08,canned fish,2014,7,8,1
38247,4484,2014-06-06,canned fish,2014,6,6,4
38468,1653,2014-12-20,canned fish,2014,12,20,5
38499,3207,2014-06-12,canned fish,2014,6,12,3
38698,3447,2014-06-30,canned fish,2014,6,30,0
38725,4164,2014-09-25,canned fish,2014,9,25,3
